ID,Question,Answer,Chunk_index,Header_path,Keyword,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,similarity_score,matched_header_source
1,Số lượng tín chỉ của chương trình đào tạo ngành Công nghệ thông tin được xác định là bao nhiêu?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH**,số lượng tín chỉ; chương trình đào tạo; ngành công nghệ thông tin,,,,,,,,,,,,,,,,,,,,,0.9666649103164673,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
2,Tổng số tín chỉ của chương trình đào tạo ngành Công nghệ thông tin là bao nhiêu?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH**,tổng số tín chỉ; chương trình đào tạo; ngành công nghệ thông tin,,,,,,,,,,,,,,,,,,,,,0.9666649103164673,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
3,Chương trình đào tạo ngành Công nghệ thông tin có tổng cộng bao nhiêu tín chỉ?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH**,chương trình đào tạo; ngành công nghệ thông tin; tổng cộng; tín chỉ,,,,,,,,,,,,,,,,,,,,,0.9666649103164673,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
4,Tổng số tín chỉ mà sinh viên ngành Công nghệ thông tin cần tích lũy là bao nhiêu?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH**,tổng số tín chỉ; ngành công nghệ thông tin; tích lũy,,,,,,,,,,,,,,,,,,,,,0.9666649103164673,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
5,Ngành Công nghệ thông tin quy định sinh viên phải hoàn thành bao nhiêu tín chỉ?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH**,ngành công nghệ thông tin; hoàn thành; tín chỉ,,,,,,,,,,,,,,,,,,,,,0.9666649103164673,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
6,Toàn bộ chương trình đào tạo ngành Công nghệ thông tin bao gồm bao nhiêu tín chỉ?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH**,toàn bộ chương trình đào tạo; ngành công nghệ thông tin; tín chỉ,,,,,,,,,,,,,,,,,,,,,0.9666649103164673,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
7,Chương trình đào tạo ngành Công nghệ thông tin quy định thời gian đào tạo chuẩn là bao nhiêu năm?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH,chương trình đào tạo; ngành công nghệ thông tin; thời gian đào tạo chuẩn,,,,,,,,,,,,,,,,,,,,,0.9683307409286499,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
8,"Ad ơi, cho em hỏi là ngành CNTT bên mình thường thì học mấy năm là ra trường vậy ạ?","120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH,ngành cntt; học mấy năm; ra trường,,,,,,,,,,,,,,,,,,,,,0.9683307409286499,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
9,Anh/chị cho em check lại xíu là thời gian đào tạo chuẩn của ngành IT là 4 năm hay 4 năm rưỡi thế ạ?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH,thời gian đào tạo chuẩn; ngành it; 4 năm; 4 năm rưỡi,,,,,,,,,,,,,,,,,,,,,0.9683307409286499,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
10,Mọi người cho mình hỏi ngành Công nghệ thông tin thì học trong bao lâu là xong chương trình nhỉ?,"120 tín chỉ (Không bao gồm: GDQP&AN, GDTC, kỹ năng mềm, kiến thức bổ trợ khác)",272,Công nghệ thông tin > **I. GIỚI THIỆU CHƯƠNG TRÌNH,ngành công nghệ thông tin; học trong bao lâu; xong chương trình,,,,,,,,,,,,,,,,,,,,,0.9683307409286499,Công nghệ thông tin > I. GIỚI THIỆU CHƯƠNG TRÌNH
